idAlu;nomalu;apealu;docid
92001;Audrey;Lee;2879688
92002;Grayson;Bell;3404930
92003;Lucas;Simpson;2003470
92004;Noah;Walker;5925485
92005;Charlotte;Ellis;2442693
92006;Gabriel;Owens;5696075
92007;Jack;Griffin;4147848
92008;Chloe;Jones;4185817
92009;Wyatt;Murphy;4632481
92010;John;Graham;3810013
92011;Hunter;Scott;2915108
92012;Emma;Bryant;3233133
92013;Caden;Scott;5228136
92014;Matthew;Patterson;3034470
92015;Logan;Howard;3712529
92016;Benjamin;Woods;5349290
92017;Eleanor;White;5068134
92018;William;Thompson;1683874
92019;James;Thomas;2789344
92020;William;Mitchell;4843788
92021;Audrey;Flores;5741672
92022;Ethan;Evans;3489897
92023;Evelyn;Hunter;3441447
92024;Savannah;Wright;1012107
92025;Emily;Alexander;1405608
92026;Stella;Bell;3550689
92027;Riley;Barnes;1701667
92028;Camila;Bailey;4866848
92029;Noah;Clark;3549031
92030;Audrey;Robinson;5021554
92031;Sebastian;Woods;2740564
92032;Hazel;White;5152870
92033;Logan;Gonzales;5819707
92034;Penelope;Butler;3681572
92035;David;Robinson;4378455
92036;Aurora;Nelson;1255459
92037;Madison;Reed;4596115
92038;Victoria;Clark;4401623
92039;Chloe;Henry;2993130
92040;Hunter;Diaz;4886280
92041;Emily;Foster;4315057
92042;Zoe;Henderson;2594674
92043;Benjamin;Martin;3468809
92044;Avery;Myers;2733607
92045;Christopher;Bennett;2284857
92046;Chloe;Allen;5792653
92047;Gabriel;Dixon;5387629
92048;Nathan;Price;2591947
92049;Sophia;Foster;5190706
92050;Riley;Crawford;5577828
92051;Evelyn;Hill;4782446
92052;Sophia;Wilson;1353497
92053;Avery;Tucker;5136452
92054;Joshua;Martin;1234150
92055;Lily;Ellis;3474752
92056;Henry;Crawford;4619381
92057;Penelope;Morgan;2469694
92058;Zoey;Owens;5543973
92059;Eleanor;Ford;2746589
92060;Jack;Morales;5829394
92061;Elijah;Patterson;2430840
92062;Benjamin;Young;2013608
92063;Lucas;Thompson;3607069
92064;Owen;Anderson;5342614
92065;Benjamin;Martinez;5671678
92066;Elijah;Gray;1368123
92067;Emily;Brown;2826532
92068;Natalie;Roberts;4051318
92069;Hunter;Hughes;2459440
92070;Aurora;Henry;4105301
92071;Gabriel;Perez;3002806
92072;Levi;Murray;2979882
92073;David;Mitchell;4514997
92074;Jack;Harris;1813856
92075;James;Hernandez;3901585
92076;Ryan;Jackson;5842356
92077;Lillian;Green;4578415
92078;David;Ellis;1865225
92079;Audrey;Roberts;5453098
92080;Stella;Jones;5248402
92081;Jackson;Morales;1354629
92082;Jack;Gibson;1835145
92083;Olivia;Jenkins;3164977
92084;Michael;Hall;5058801
92085;Harper;Rodriguez;3505093
92086;Claire;Boyd;5382657
92087;Alexander;Wells;2670356
92088;Elizabeth;Webb;3029019
92089;Ava;Brooks;1886652
92090;Claire;Kennedy;1847136
92091;Michael;Crawford;5234397
92092;Isaac;Edwards;3378053
92093;Lucas;Cole;4432260
92094;Mia;Diaz;2392499
92095;Elijah;Woods;4210105
92096;Owen;Jackson;5991948
92097;Andrew;Gonzalez;3449358
92098;Caden;Gray;2139195
92099;Joseph;Martinez;4102959
92100;Nicholas;Roberts;4577056
92101;James;Gonzales;1391188
92102;Amelia;Morales;1800504
92103;Sophia;Bennett;5355461
92104;Lily;Thompson;2145346
92105;Noah;Kennedy;4265974
92106;Madison;Moore;4916203
92107;Riley;Mason;1184886
92108;Charlotte;Mason;4606795
92109;Joshua;Jenkins;5740127
92110;Ella;Cooper;4623749
92111;Liam;Hernandez;3243318
92112;John;Myers;2437656
92113;Jack;Coleman;1083628
92114;Riley;West;1940135
92115;Camila;Griffin;4519467
92116;Emily;Sullivan;3785518
92117;Christopher;Mitchell;2599266
92118;Hannah;Collins;2226751
92119;Daniel;Perry;4544783
92120;James;Williams;5288250
92121;Gabriel;Marshall;2813753
92122;Penelope;Clark;3418137
92123;Levi;James;4315360
92124;Elizabeth;Diaz;3633363
92125;Claire;Jenkins;2309761
92126;Sofia;Harris;5406041
92127;Elizabeth;Bailey;1253584
92128;Ava;Coleman;2011984
92129;Grace;Cox;4866449
92130;Samuel;Thompson;4107215
92131;Lily;Griffin;5220693
92132;Stella;Myers;1680007
92133;David;Gonzales;5824906
92134;Ethan;Murray;5722461
92135;Mia;Hernandez;1586963
92136;Joshua;Thomas;3680928
92137;Emily;Washington;4126307
92138;Carter;West;2540233
92139;Lily;West;1929319
92140;Nora;Hill;1407544
92141;Stella;Ramos;2305423
92142;Hazel;Tucker;2619546
92143;Owen;Phillips;3614396
92144;Nora;Garcia;4875650
92145;Evelyn;Brown;5661653
92146;Lillian;Hall;1177742
92147;Jack;Hernandez;4291380
92148;Charlotte;Ellis;5609908
92149;Lily;Moore;3747026
92150;Ryan;Cole;3578468
92151;William;Cook;4051265
92152;Alexander;Murray;5707325
92153;Wyatt;Jenkins;1800879
92154;Aubrey;Long;1904985
92155;William;Reyes;5077713
92156;Hunter;Jenkins;2146463
92157;Penelope;Russell;1155870
92158;Grace;Wright;4319097
92159;Natalie;Hayes;4387555
92160;James;Kelly;4433580
92161;Lily;Bennett;4261902
92162;Layla;Clark;4874131
92163;Aiden;Simmons;3985639
92164;Camila;Phillips;4443297
92165;Liam;Miller;2741333
92166;Nicholas;Flores;3995671
92167;Nora;Diaz;3957994
92168;Christian;Scott;1545764
92169;Grayson;Jackson;2175739
92170;Levi;West;2157656
92171;Mason;Mason;1828362
92172;Noah;Fisher;2445462
92173;Amelia;Reyes;5265795
92174;Amelia;Ortega;5856081
92175;Samuel;Russell;5175050
92176;Owen;Cole;2767015
92177;Aubrey;Graham;2222583
92178;Lily;Hicks;5739083
92179;Samuel;Gonzales;5776037
92180;Logan;Alexander;3627378
92181;Stella;Hill;2322800
92182;Jackson;Kennedy;1460136
92183;Caden;Davis;2139824
92184;Claire;Rodriguez;3311766
92185;Andrew;Boyd;3132812
92186;Harper;Russell;4962953
92187;Anna;Freeman;3282954
92188;Matthew;Hill;4455685
92189;Harper;Hunter;5742026
92190;Julian;Reyes;4571358
92191;David;Wilson;5251282
92192;Isabella;Gray;3206345
92193;Julian;White;2707048
92194;Evelyn;Torres;4752479
92195;Elijah;Simpson;3700721
